province,id,type,price,rooms,latitude,longitude,postal_code
Girona,103396123,Piso,690,1,"42,2485072","3,120586",17487
Girona,106842096,Piso,850,3,"41,9208977","3,164215",17200
Girona,105975344,Chalet,1300,2,"42,2628061","3,1025283",17486
Girona,106842096,Piso,850,3,"41,9208977","3,164215",17200
Girona,106431672,Chalet,1190,4,"41,8789705","2,5088427",17403
Girona,25412352,Estudio,850,0,"41,9524681","3,1714592",17214
Girona,85561509,Casa Rural,800,4,"42,19143","2,386085",
Girona,104924851,Piso,1500,2,"41,9923592","2,8080171",17007
Girona,106811005,Duplex,1200,3,"41,8524136","3,1229135",17230
Girona,102823457,Ático,2000,3,"41,8454744","3,1043637",17251
Girona,106664694,Piso,650,1,"42,4287353","1,9318838",17520
Girona,104873241,Piso,1300,1,"41,8437587","3,0970155",17251
Girona,95197473,Piso,1000,2,"41,8925826","3,1882377",17211
Girona,106780162,Piso,800,2,"41,6959012","2,8301371",17310
Girona,105722080,Chalet,5000,5,"41,821589","3,0651725",17248
Girona,106157502,Piso,1795,3,"41,9829865","2,8169688",17005
Girona,106854915,Chalet,1600,4,"41,8536862","3,1183759",17252
Girona,106361512,Chalet,3100,5,"41,7079991","2,8219345",17310
Girona,106553977,Chalet,1000,3,"41,7213117","2,5507286",17404
Girona,106909980,Piso,780,4,"42,1851335","2,4852237",17800
Girona,105686335,Chalet,3000,3,"42,4167955","1,878308",17539
Girona,106579708,Casa Rural,700,1,"41,9524084","3,1702756",17214
Girona,106612601,Piso,4300,4,"41,8927678","3,1937021",17211
Girona,106741848,Piso,1200,3,"42,124453","3,1330276",17130
Girona,36116831,Piso,990,2,"41,9794642","2,8150322",17002
Girona,106843580,Piso,1160,1,"41,8119022","3,0668289",17248
Girona,106439820,Casa Rural,1100,1,"42,3298023","2,3170284",17869
Girona,106748999,Piso,2600,5,"41,9849015","2,8225239",17001
Girona,103700320,Piso,1400,2,"42,0232507","2,7032908",17199
Girona,103847752,Chalet,2700,4,"42,0246171","2,7014858",17199
Girona,106553136,Duplex,1499,4,"41,7204256","2,9334366",17320
Girona,98481191,Casa Rural,1290,3,"42,0199145","2,9737714",17120
Girona,104746673,Chalet,1590,5,"41,8199555","2,5081301",17401
Girona,105200891,Chalet,1500,4,"41,6732044","2,7901604",17300
Girona,106779639,Piso,1100,2,"41,7202731","2,9298692",17320
Girona,106046244,Piso,750,3,"42,3202371","2,3426437",17869
Girona,106054817,Duplex,1200,4,"41,966474","2,8125055",17005
Girona,102089694,Chalet,9950,6,"41,9780591","3,1493342",17256
Girona,104320943,Chalet,2500,4,"42,4019258","1,9332155",66340
Girona,106454613,Piso,850,2,"42,2384906","3,1240739",17486
Girona,106039582,Casa Rural,1000,3,"42,0199901","3,0872351",17114
Girona,106543068,Chalet,1200,2,"41,8873062","2,8780644",17244
Girona,106518512,Chalet,2950,4,"41,9801034","2,8240053",17002
Girona,103702309,Piso,1300,2,"42,0246182","2,7026605",17199
Girona,103873401,Piso,1050,2,"41,8156309","3,0698327",17248
Girona,94280632,Casa Rural,690,1,"42,1426291","2,9528495",17483
Girona,106624521,Casa Rural,1350,3,"41,9609019","3,0562123",17111
Girona,106894359,Piso,1300,4,"41,9749845","2,8223207",17002
Girona,104581991,Chalet,1200,4,"41,8453709","3,1280216",17230
Girona,106844331,Chalet,1200,3,"41,9715962","3,1505731",17256
Girona,103423344,Chalet,1903,3,"41,8403756","3,065528",17248
Girona,104586211,Piso,680,1,"41,986983","2,8234232",17001
Girona,98812704,Casa Rural,1650,2,"42,0356376","2,6408353",17170
Girona,105895728,Duplex,1200,3,"41,9762767","2,8119101",17005
Girona,100172750,Piso,800,2,"41,9906093","3,1092115",17113
Girona,94563978,Piso,750,1,"41,9778431","3,1517602",17256
Girona,103423348,Piso,1860,3,"41,8096176","3,0657095",17248
Girona,102993969,Casa Rural,1250,5,"42,0519255","3,1089738",17140
Girona,103286160,Piso,1209,1,"41,8139774","3,0672603",17248
Girona,104302557,Chalet,1500,3,"41,9089379","3,1557709",17200
Girona,106839874,Piso,1250,3,"41,9684141","2,8352613",17004
Girona,106561817,Casa Rural,1800,3,"42,1771405","3,0394606",17474
Girona,104242407,Piso,2000,3,"42,3720445","3,1623158",17490
Girona,106744856,Chalet,1450,2,"41,9651315","3,1308122",17123
Girona,93364935,Chalet,2202,3,"41,8380911","3,0667816",17248
Girona,103423364,Piso,1224,2,"41,7935553","3,047559",17249
Girona,106669684,Chalet,1850,4,"41,9979261","2,8291218",17007
Girona,103912917,Chalet,3500,4,"42,0283823","3,1046417",17140
Girona,106573650,Ático,1350,2,"41,8166499","3,0659373",17248
Girona,102946130,Casa Rural,1200,4,"41,987022","3,1111878",17113
Girona,106805910,Chalet,7500,5,"41,9283117","2,849536",17243
Girona,103423397,Piso,1319,2,"41,8082353","3,063243",17248
Girona,105079593,Casa Rural,6000,5,"42,0210734","3,0087762",17131
Girona,106241160,Piso,1050,1,"41,847813","3,1243765",17230
Girona,99332842,Chalet,1050,3,"42,3511097","1,8546068",17538
Girona,106808775,Piso,3750,3,"41,8509172","3,1275281",17230
Girona,106926142,Piso,680,1,"42,2548643","3,1236597",17486
Girona,104156899,Piso,1500,2,"41,9945416","2,8089769",17007
Girona,104173914,Casa Rural,1600,3,"42,0371277","2,9967097",17131
Girona,106578465,Piso,1550,3,"41,849129","3,1245171",17230
Girona,105339705,Chalet,8750,4,"42,1051805","2,9905259",17144
Girona,106134987,Piso,900,1,"41,849744","3,1175757",17251
Girona,106578465,Piso,1550,3,"41,849129","3,1245171",17230
Girona,104156899,Piso,1500,2,"41,9945416","2,8089769",17007
Girona,106134987,Piso,900,1,"41,849744","3,1175757",17251
Girona,106808775,Piso,3750,3,"41,8509172","3,1275281",17230
Girona,105339705,Chalet,8750,4,"42,1051805","2,9905259",17144
Girona,104173914,Casa Rural,1600,3,"42,0371277","2,9967097",17131
Girona,101875535,Ático,1442,2,"41,9888656","2,8238901",17001
Girona,106597499,Estudio,950,0,"42,0132306","3,1386272",17257
Girona,98104466,Chalet,9000,2,"41,7791334","3,0285267",17220
Girona,106415558,Chalet,2900,4,"41,8198906","2,7319165",17421
Girona,100922082,Duplex,1500,1,"41,9906593","2,8349554",17007
Girona,105511522,Piso,1400,1,"42,049104","3,1941247",17130
Girona,106279741,Chalet,2000,3,"41,9317305","3,1701198",17213
Girona,26668495,Piso,1150,3,"41,9840925","2,8164777",17005
Girona,106593835,Chalet,2300,3,"41,9320601","2,8096523",17458
Girona,106783015,Chalet,1100,5,"42,0455314","2,9386765",17462
Girona,106173589,Piso,1950,3,"41,983694","2,8235846",17004
Girona,91019068,Chalet,1600,3,"41,796304","3,0509879",17248
Girona,105279220,Piso,5000,3,"41,7201722","2,9329028",17320
